"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 24 17:35:19 GMT 2024","Wed Jul 24 17:35:29 GMT 2024","10054","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchProduct_2nd","validate the Sorting works 2","Search Product in Amazon2"
"broken","Wed Jul 24 17:35:18 GMT 2024","Wed Jul 24 17:35:49 GMT 2024","30271","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchProduct_3rd","validate the Sorting works 3","Search Product in Amazon3"
"unknown","Wed Jul 24 17:34:53 GMT 2024","Wed Jul 24 17:34:53 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights3","Validating Search resrch result","Search Flights 3"
"unknown","Wed Jul 24 17:34:53 GMT 2024","Wed Jul 24 17:34:53 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateOfferesIsSelected","Testing Link Checkboxes","Testing Link Checkboxes 1"
"unknown","Wed Jul 24 17:34:53 GMT 2024","Wed Jul 24 17:34:53 GMT 2024","1","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights4","Validating Search resrch result","Search Flights 4"
"unknown","Wed Jul 24 17:34:53 GMT 2024","Wed Jul 24 17:34:53 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateBrokenIsSelected","Testing Link Broken",""
"broken","Wed Jul 24 17:35:38 GMT 2024","Wed Jul 24 17:35:48 GMT 2024","10003","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchProduct","validate the Sorting works","Search Product in Amazon"
"unknown","Wed Jul 24 17:34:53 GMT 2024","Wed Jul 24 17:34:53 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateHotelIsSelected2","Testing Link Broken 2","Testing Link Broken 2"
"unknown","Wed Jul 24 17:34:53 GMT 2024","Wed Jul 24 17:34:53 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateOfferesIsSelectedNegative","Testing Link Checkboxes Negative","Testing Link Checkboxes negative"
"unknown","Wed Jul 24 17:34:53 GMT 2024","Wed Jul 24 17:34:53 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights","Validating Search resrch result","Search Flights"
"unknown","Wed Jul 24 17:34:53 GMT 2024","Wed Jul 24 17:34:53 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights2","Validating Search resrch result","Search Flights 2"
