"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Jul 24 17:07:27 GMT 2024","Wed Jul 24 17:07:27 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights","Validating Search resrch result","Search Flights"
"unknown","Wed Jul 24 17:07:27 GMT 2024","Wed Jul 24 17:07:27 GMT 2024","1","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights4","Validating Search resrch result","Search Flights 4"
"unknown","Wed Jul 24 17:07:27 GMT 2024","Wed Jul 24 17:07:27 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateOfferesIsSelectedNegative","Testing Link Checkboxes Negative","Testing Link Checkboxes negative"
"broken","Wed Jul 24 17:07:43 GMT 2024","Wed Jul 24 17:07:53 GMT 2024","10334","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchProduct_3rd","validate the Sorting works 3","Search Product in Amazon3"
"unknown","Wed Jul 24 17:07:27 GMT 2024","Wed Jul 24 17:07:27 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights2","Validating Search resrch result","Search Flights 2"
"unknown","Wed Jul 24 17:07:27 GMT 2024","Wed Jul 24 17:07:27 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights3","Validating Search resrch result","Search Flights 3"
"broken","Wed Jul 24 17:07:43 GMT 2024","Wed Jul 24 17:07:53 GMT 2024","10230","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchProduct","validate the Sorting works","Search Product in Amazon"
"unknown","Wed Jul 24 17:07:27 GMT 2024","Wed Jul 24 17:07:27 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateBrokenIsSelected","Testing Link Broken",""
"unknown","Wed Jul 24 17:07:27 GMT 2024","Wed Jul 24 17:07:27 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateHotelIsSelected2","Testing Link Broken 2","Testing Link Broken 2"
"broken","Wed Jul 24 17:07:43 GMT 2024","Wed Jul 24 17:07:53 GMT 2024","10225","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchProduct_2nd","validate the Sorting works 2","Search Product in Amazon2"
"unknown","Wed Jul 24 17:07:27 GMT 2024","Wed Jul 24 17:07:27 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateOfferesIsSelected","Testing Link Checkboxes","Testing Link Checkboxes 1"
